Name,Rating,Reviews,Company Type,Location,Highly Rated For,Critically Rated For
Becton Dickinson,4.1,464,Medical Equipment,Bangalore / Bengaluru +31 other locations,"Company Culture, Work Life Balance, Job Security",None
Ziqitza Health Care,4.0,464,Healthcare,Bhopal +54 other locations,"Work Life Balance, Work Satisfaction, Company Culture",Promotions / Appraisal
Technotask Business Solutions,3.5,464,BPO,Bhopal +16 other locations,None,"Promotions / Appraisal, Salary & Benefits, Job Security"
Go First,3.7,463,Aviation,Mumbai +32 other locations,None,"Job Security, Promotions / Appraisal, Salary & Benefits"
TSYS|Total System Services,4.1,463,Financial Services,Noida +7 other locations,"Work Life Balance, Company Culture, Salary & Benefits",None
Gestamp,3.7,463,Auto Components,Pune +7 other locations,None,"Promotions / Appraisal, Work Satisfaction, Job Security"
AI Airport Services,3.6,463,Mumbai +51 other locations,Unknown,None,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Lear Corporation,4.0,461,Auto Components,Pune +18 other locations,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
Jaipur Rugs,4.4,461,Fashion & Textile,Jaipur +18 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",None
ExportersIndia,4.9,462,Internet,New Delhi +1 other locations,"Company Culture, Job Security, Promotions / Appraisal",None
Bluestream Software Solution,4.7,460,IT Services & Consulting,Pune +8 other locations,"Skill Development / Learning, Salary & Benefits, Company Culture",None
BT E Serv,4.2,460,Telecom,Kolkata +6 other locations,"Work Life Balance, Job Security, Company Culture",None
Ofbusiness,3.3,460,Internet,Gurgaon / Gurugram +34 other locations,None,"Job Security, Work Satisfaction, Work Life Balance"
BharatMatrimony.com,4.1,460,Internet,Chennai +31 other locations,"Company Culture, Job Security, Work Life Balance",None
Einfochips,3.3,459,IT Services & Consulting,Ahmedabad +12 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
