Name,Rating,Reviews,Company Type,Location,Highly Rated For,Critically Rated For
TCS,3.7,85.8k,IT Services & Consulting,Bangalore / Bengaluru +377 other locations,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Accenture,3.9,53.7k,IT Services & Consulting,Bangalore / Bengaluru +193 other locations,"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal
Wipro,3.7,51k,IT Services & Consulting,Bangalore / Bengaluru +340 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
Cognizant,3.8,48k,IT Services & Consulting,Chennai +192 other locations,None,"Promotions / Appraisal, Salary & Benefits"
Capgemini,3.8,39.7k,IT Services & Consulting,Bangalore / Bengaluru +158 other locations,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
HDFC Bank,3.9,38.1k,Banking,Mumbai +1626 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
Infosys,3.7,37.3k,IT Services & Consulting,Bangalore / Bengaluru +199 other locations,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
ICICI Bank,4.0,37.1k,Banking,Mumbai +1334 other locations,"Job Security, Skill Development / Learning, Company Culture",None
HCLTech,3.5,34.5k,IT Services & Consulting,Chennai +200 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Tech Mahindra,3.6,33.7k,IT Services & Consulting,Hyderabad / Secunderabad +285 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Genpact,3.9,30.3k,IT Services & Consulting,Hyderabad / Secunderabad +133 other locations,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Teleperformance,3.9,28.1k,BPO,Mumbai +206 other locations,"Skill Development / Learning, Job Security, Company Culture",None
Concentrix Corporation,3.8,25.4k,BPO,Bangalore / Bengaluru +138 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
Axis Bank,3.8,24.6k,Banking,Mumbai +1358 other locations,None,Promotions / Appraisal
Amazon,4.1,24.3k,Internet,Bangalore / Bengaluru +459 other locations,"Company Culture, Salary & Benefits, Work Life Balance",None
Jio,3.9,21.9k,Mumbai +1202 other locations,Unknown,"Job Security, Skill Development / Learning",Promotions / Appraisal
Reliance Retail,3.9,21.6k,Retail,Mumbai +1044 other locations,"Skill Development / Learning, Job Security",Promotions / Appraisal
iEnergizer,4.7,21.5k,BPO,Noida +39 other locations,"Company Culture, Skill Development / Learning, Job Security",None
IBM,4.1,21.4k,IT Services & Consulting,Bangalore / Bengaluru +154 other locations,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal
LTIMindtree,3.8,20.1k,IT Services & Consulting,Bangalore / Bengaluru +126 other locations,"Work Life Balance, Skill Development / Learning, Job Security","Promotions / Appraisal, Salary & Benefits"
HDB Financial Services,4.0,19.7k,NBFC,Mumbai +987 other locations,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal
Larsen & Toubro Limited,4.0,18k,Engineering & Construction,Chennai +651 other locations,"Job Security, Skill Development / Learning, Salary & Benefits",Promotions / Appraisal
Deloitte,3.8,17k,Management Consulting,Hyderabad / Secunderabad +158 other locations,"Job Security, Skill Development / Learning, Salary & Benefits","Work Life Balance, Promotions / Appraisal"
Kotak Mahindra Bank,3.8,16k,Banking,Mumbai +609 other locations,Job Security,Promotions / Appraisal
BYJU'S,3.1,16k,EdTech,Bangalore / Bengaluru +310 other locations,None,"Job Security, Work Life Balance, Company Culture"
Reliance Industries,4.0,15.4k,Oil & Gas,Jamnagar +723 other locations,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
Vodafone Idea,4.1,15k,Telecom,Pune +659 other locations,"Company Culture, Work Life Balance, Salary & Benefits",None
Bharti Airtel,4.0,13.3k,Telecom,Gurgaon / Gurugram +699 other locations,"Skill Development / Learning, Salary & Benefits, Job Security",Promotions / Appraisal
Tata Motors,4.2,11.6k,Automobile,Pune +464 other locations,"Job Security, Skill Development / Learning, Company Culture",None
AU Small Finance Bank,4.3,11.3k,Banking,Jaipur +691 other locations,"Skill Development / Learning, Job Security, Company Culture",None
WNS,3.4,10.7k,BPO,Pune +43 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Flipkart,4.0,10.5k,Internet,Bangalore / Bengaluru +523 other locations,"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal
IndusInd Bank,3.6,10.4k,Banking,Mumbai +719 other locations,None,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Ernst & Young,3.5,10.2k,Management Consulting,Bangalore / Bengaluru +110 other locations,None,"Work Life Balance, Promotions / Appraisal, Work Satisfaction"
IDFC FIRST Bank,4.0,9.9k,Banking,Mumbai +617 other locations,"Salary & Benefits, Skill Development / Learning, Job Security",None
DXC Technology,3.7,9.7k,IT Services & Consulting,Bangalore / Bengaluru +102 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
Mahindra & Mahindra,4.1,9.6k,Automobile,Pune +507 other locations,"Job Security, Skill Development / Learning, Company Culture",None
Infosys BPM,3.7,9.3k,BPO,Bangalore / Bengaluru +78 other locations,"Job Security, Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal"
Bajaj Finserv,4.0,8.9k,Financial Services,Pune +981 other locations,"Salary & Benefits, Skill Development / Learning, Job Security",None
PwC,3.4,8.7k,Management Consulting,Bangalore / Bengaluru +105 other locations,None,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
HDFC Life,4.0,8.7k,Insurance,Mumbai +602 other locations,"Skill Development / Learning, Job Security, Company Culture",None
Conneqt Business Solutions,3.7,8.5k,BPO,Hyderabad / Secunderabad +240 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Mphasis,3.4,7.9k,IT Services & Consulting,Bangalore / Bengaluru +53 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Yes Bank,3.8,7.4k,Banking,Mumbai +476 other locations,None,None
Bandhan Bank,3.7,7.2k,Banking,Kolkata +842 other locations,Job Security,"Promotions / Appraisal, Work Satisfaction"
Startek,3.2,7.2k,Bangalore / Bengaluru +74 other locations,Unknown,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Paytm,3.3,7.2k,FinTech,Noida +343 other locations,None,"Job Security, Promotions / Appraisal, Company Culture"
Asian Paints,4.0,7.1k,Chemicals,Mumbai +469 other locations,"Salary & Benefits, Skill Development / Learning, Job Security",None
Maruti Suzuki,4.2,7.1k,Automobile,Gurgaon / Gurugram +376 other locations,"Job Security, Salary & Benefits, Skill Development / Learning",None
Samsung,4.0,7k,Consumer Electronics & Appliances,Noida +530 other locations,"Salary & Benefits, Work Life Balance",Promotions / Appraisal
Ericsson,4.2,6.9k,Telecom,Noida +151 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Quess,3.9,6.9k,BPO,Bangalore / Bengaluru +608 other locations,None,Promotions / Appraisal
Tata Steel,4.1,6.9k,Iron & Steel,Jamshedpur +196 other locations,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
Shriram Finance,4.1,6.9k,NBFC,Chennai +996 other locations,"Job Security, Work Life Balance, Skill Development / Learning",None
HGS,3.9,6.8k,BPO,Bangalore / Bengaluru +109 other locations,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
EXL Service,3.7,6.8k,Analytics & KPO,Noida +49 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
Muthoot Fincorp,4.5,6.7k,NBFC,Bangalore / Bengaluru +833 other locations,"Skill Development / Learning, Job Security, Company Culture",None
UltraTech Cement,4.2,6.7k,Building Material,Mumbai +452 other locations,"Job Security, Skill Development / Learning, Company Culture",None
Cipla,4.1,6.6k,Pharma,Mumbai +253 other locations,"Skill Development / Learning, Salary & Benefits, Work Life Balance",None
Dr. Reddy's,4.1,6.6k,Pharma,Hyderabad / Secunderabad +180 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
Sutherland Global Services,3.7,6.6k,IT Services & Consulting,Chennai +62 other locations,None,"Promotions / Appraisal, Salary & Benefits"
Bajaj Finance,4.0,6.4k,NBFC,Pune +825 other locations,"Salary & Benefits, Skill Development / Learning, Job Security",None
Wells Fargo,3.9,6.1k,Financial Services,Bangalore / Bengaluru +22 other locations,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
ICICI Prudential Life Insurance,4.1,6.1k,Insurance,Mumbai +470 other locations,"Job Security, Skill Development / Learning, Salary & Benefits",None
Amazon Development Centre India,4.1,6k,Internet,Hyderabad / Secunderabad +98 other locations,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
Jana Small Finance Bank,3.8,6k,Banking,Bangalore / Bengaluru +368 other locations,None,None
Equitas Small Finance Bank,4.5,5.9k,Banking,Chennai +418 other locations,"Job Security, Company Culture, Work Life Balance",None
Delhivery,3.9,5.9k,Logistics,Gurgaon / Gurugram +664 other locations,Skill Development / Learning,Promotions / Appraisal
Lupin,4.2,5.8k,Pharma,Pune +178 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",None
Zydus Lifesciences,4.1,5.8k,Pharma,Ahmedabad +159 other locations,"Salary & Benefits, Skill Development / Learning, Job Security",None
JPMorgan Chase & Co.,4.0,5.8k,Financial Services,Bangalore / Bengaluru +37 other locations,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
L&T Construction,4.0,5.8k,Engineering & Construction,Chennai +373 other locations,"Job Security, Skill Development / Learning, Salary & Benefits",Work Life Balance
Sun Pharmaceutical Industries,4.1,5.6k,Pharma,Vadodara +218 other locations,"Salary & Benefits, Job Security, Skill Development / Learning",None
Hexaware Technologies,3.6,5.6k,IT Services & Consulting,Chennai +54 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
JSW Steel,3.9,5.5k,Iron & Steel,Ballari +156 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
ITC,4.0,5.4k,FMCG,Bangalore / Bengaluru +328 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
Indian Army,4.7,5.4k,Defence & Aerospace,New Delhi +340 other locations,"Job Security, Company Culture, Skill Development / Learning",None
HCL Group,3.7,5.4k,IT Services & Consulting,Chennai +81 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
Hindustan Unilever,4.2,5.4k,FMCG,Mumbai +459 other locations,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal
FIS,3.9,5.3k,FinTech,Pune +49 other locations,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
KPMG India,3.5,5.2k,Management Consulting,Bangalore / Bengaluru +92 other locations,None,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
Max Life Insurance,4.1,5.2k,Insurance,New Delhi +426 other locations,"Skill Development / Learning, Company Culture, Job Security",None
Ujjivan Small Finance Bank,4.1,5.1k,Banking,Bangalore / Bengaluru +467 other locations,"Company Culture, Job Security, Skill Development / Learning",None
IIFL Finance,4.0,5.1k,NBFC,Mumbai +718 other locations,"Work Life Balance, Skill Development / Learning, Salary & Benefits",None
Oracle,3.7,5.1k,Software Product,Bangalore / Bengaluru +51 other locations,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Udaan,4.0,5k,Internet,Bangalore / Bengaluru +343 other locations,"Salary & Benefits, Skill Development / Learning, Work Life Balance",Job Security
Tata Projects,4.3,5k,Engineering & Construction,Mumbai +248 other locations,"Job Security, Company Culture, Salary & Benefits",None
Ekart Logistics,4.0,4.9k,Bangalore / Bengaluru +657 other locations,Unknown,"Skill Development / Learning, Salary & Benefits",Promotions / Appraisal
Megha Engineering & Infrastructures,3.9,4.8k,Engineering & Construction,Hyderabad / Secunderabad +329 other locations,Job Security,Promotions / Appraisal
Muthoot Finance,3.6,4.8k,NBFC,Bangalore / Bengaluru +685 other locations,None,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
eClerx,3.3,4.8k,IT Services & Consulting,Pune +22 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Omega Healthcare,3.8,4.7k,BPO,Bangalore / Bengaluru +56 other locations,None,"Promotions / Appraisal, Salary & Benefits"
JLL,4.1,4.6k,Real Estate,Gurgaon / Gurugram +72 other locations,"Job Security, Skill Development / Learning, Company Culture",None
Bajaj Allianz Life Insurance,4.0,4.6k,Insurance,Pune +536 other locations,"Salary & Benefits, Work Life Balance, Job Security",None
Aurobindo Pharma,4.0,4.6k,Pharma,Hyderabad / Secunderabad +96 other locations,"Job Security, Salary & Benefits, Work Life Balance",None
Siemens,4.1,4.6k,Industrial Automation,Bangalore / Bengaluru +139 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Shapoorji Pallonji Group,4.2,4.6k,Engineering & Construction,Mumbai +178 other locations,"Job Security, Work Life Balance, Skill Development / Learning",None
Coforge,3.4,4.5k,IT Services & Consulting,Noida +93 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
HSBC Group,4.0,4.5k,Financial Services,Bangalore / Bengaluru +53 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
L&T Technology Services,3.3,4.5k,IT Services & Consulting,Bangalore / Bengaluru +66 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Indiamart Intermesh,3.6,4.5k,Internet,Noida +148 other locations,None,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Virtusa Consulting Services,3.8,4.5k,IT Services & Consulting,Hyderabad / Secunderabad +43 other locations,None,Promotions / Appraisal
Apollo Hospitals,4.1,4.4k,Healthcare,Chennai +198 other locations,"Job Security, Skill Development / Learning, Company Culture",None
Firstsource Solutions,3.7,4.4k,BPO,Bangalore / Bengaluru +57 other locations,None,"Promotions / Appraisal, Salary & Benefits"
Ashok Leyland,4.1,4.4k,Automobile,Chennai +220 other locations,"Skill Development / Learning, Work Satisfaction, Work Life Balance",Promotions / Appraisal
Standard Chartered,3.8,4.4k,Banking,Chennai +63 other locations,Job Security,Promotions / Appraisal
DMart,4.0,4.4k,Retail,Mumbai +218 other locations,"Job Security, Company Culture",Promotions / Appraisal
BigBasket,3.9,4.4k,Internet,Bangalore / Bengaluru +123 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
CGI Group,4.0,4.3k,IT Services & Consulting,Bangalore / Bengaluru +33 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
ICICI Lombard General Insurance Company,3.7,4.3k,Insurance,Mumbai +276 other locations,None,"Promotions / Appraisal, Work Satisfaction"
Cyient,3.7,4.3k,IT Services & Consulting,Hyderabad / Secunderabad +39 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
JustDial,3.5,4.3k,Internet,Noida +191 other locations,None,"Promotions / Appraisal, Work Satisfaction, Job Security"
GlobalLogic,3.7,4.3k,IT Services & Consulting,Hyderabad / Secunderabad +45 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Hero MotoCorp,4.2,4.3k,Automobile,Gurgaon / Gurugram +326 other locations,"Work Life Balance, Company Culture, Job Security",None
Vivo,4.1,4.3k,Consumer Electronics & Appliances,Noida +386 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
Mahindra Finance,4.1,4.3k,NBFC,Mumbai +662 other locations,"Company Culture, Job Security, Skill Development / Learning",None
Cholamandalam Investment & Finance,4.0,4.2k,Financial Services,Chennai +708 other locations,"Salary & Benefits, Job Security, Skill Development / Learning",None
Home Credit Finance,4.1,4.2k,NBFC,Gurgaon / Gurugram +120 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Citicorp,3.7,4.2k,Financial Services,Pune +62 other locations,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
Eviden,3.6,4.2k,IT Services & Consulting,Pune +33 other locations,None,"Promotions / Appraisal, Salary & Benefits"
Bosch Global Software Technologies,4.0,4.2k,Software Product,Bangalore / Bengaluru +33 other locations,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
UST,3.8,4.2k,IT Services & Consulting,Bangalore / Bengaluru +38 other locations,"Work Life Balance, Company Culture",Promotions / Appraisal
Manappuram Finance,3.9,4k,NBFC,Bangalore / Bengaluru +544 other locations,"Skill Development / Learning, Promotions / Appraisal",None
SMFG India Credit,4.0,4k,NBFC,Mumbai +516 other locations,"Salary & Benefits, Job Security, Company Culture",None
OPPO,4.0,4k,Consumer Electronics & Appliances,Noida +379 other locations,Skill Development / Learning,Promotions / Appraisal
Nagarro,4.0,4k,IT Services & Consulting,Gurgaon / Gurugram +40 other locations,"Work Life Balance, Company Culture, Skill Development / Learning",None
TVS Motor,4.0,4k,Automobile,Hosur +293 other locations,"Skill Development / Learning, Salary & Benefits, Job Security",None
SBI Cards & Payment Services,3.7,4k,Financial Services,New Delhi +374 other locations,None,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Optum,4.0,3.9k,Healthcare,Hyderabad / Secunderabad +37 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
IQVIA,3.9,3.9k,Clinical Research,Bangalore / Bengaluru +49 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Swiggy,3.8,3.9k,Internet,Bangalore / Bengaluru +198 other locations,Salary & Benefits,"Job Security, Promotions / Appraisal"
BNY,4.0,3.9k,Financial Services,Pune +18 other locations,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
Atos,3.9,3.9k,IT Services & Consulting,Pune +47 other locations,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits"
Kalpataru Projects International,4.2,3.9k,Engineering & Construction,Mumbai +271 other locations,"Job Security, Skill Development / Learning, Salary & Benefits",None
Amdocs,3.8,3.9k,Software Product,Pune +18 other locations,Company Culture,"Promotions / Appraisal, Work Satisfaction"
State Bank of India,3.8,3.7k,Banking,Mumbai +525 other locations,"Job Security, Salary & Benefits",Work Life Balance
CBRE,4.2,3.7k,Real Estate,Hyderabad / Secunderabad +79 other locations,"Skill Development / Learning, Job Security, Company Culture",None
Hewlett Packard Enterprise,4.2,3.7k,IT Services & Consulting,Bangalore / Bengaluru +92 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Bosch,4.2,3.7k,Auto Components,Bangalore / Bengaluru +107 other locations,"Company Culture, Work Life Balance, Job Security",None
Persistent Systems,3.5,3.7k,IT Services & Consulting,Pune +35 other locations,None,"Promotions / Appraisal, Job Security, Work Satisfaction"
Hyundai Motor India Limited,4.3,3.7k,Automobile,Chennai +274 other locations,"Job Security, Salary & Benefits, Skill Development / Learning",None
SBI Life Insurance Company,3.8,3.7k,Insurance,Mumbai +571 other locations,Job Security,Promotions / Appraisal
Dell,4.0,3.7k,Consumer Electronics & Appliances,Bangalore / Bengaluru +103 other locations,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
JBM Group,4.0,3.7k,Auto Components,Gurgaon / Gurugram +93 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
Schneider Electric,4.2,3.6k,Industrial Automation,Bangalore / Bengaluru +108 other locations,"Company Culture, Work Life Balance, Job Security",None
Marpu Foundation,4.9,3.6k,Non-Profit,Hyderabad / Secunderabad +55 other locations,"Company Culture, Work Satisfaction, Skill Development / Learning",None
Ecom Express,3.9,3.6k,Logistics,Gurgaon / Gurugram +661 other locations,None,Promotions / Appraisal
NTT Data,3.9,3.6k,IT Services & Consulting,Bangalore / Bengaluru +58 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
ITC Infotech,3.8,3.5k,IT Services & Consulting,Bangalore / Bengaluru +56 other locations,"Work Life Balance, Job Security",Promotions / Appraisal
KEC International,4.1,3.5k,Engineering & Construction,Mumbai +276 other locations,"Job Security, Salary & Benefits, Skill Development / Learning",Promotions / Appraisal
Piramal Capital Housing Finance,4.2,3.5k,NBFC,Mumbai +352 other locations,"Company Culture, Skill Development / Learning, Salary & Benefits",None
Nagarjuna Construction Company,4.1,3.5k,Engineering & Construction,Hyderabad / Secunderabad +236 other locations,"Job Security, Salary & Benefits, Company Culture",None
CARS24,3.6,3.5k,Internet,Gurgaon / Gurugram +157 other locations,None,"Job Security, Promotions / Appraisal"
Oyo Rooms,3.3,3.5k,Hospitality,Gurgaon / Gurugram +119 other locations,None,"Job Security, Promotions / Appraisal, Work Satisfaction"
Aditya Birla Fashion and Retail,4.1,3.5k,Fashion & Textile,Bangalore / Bengaluru +242 other locations,"Job Security, Skill Development / Learning, Company Culture",None
PolicyBazaar,3.6,3.4k,Internet,Gurgaon / Gurugram +106 other locations,Salary & Benefits,"Work Life Balance, Company Culture, Work Satisfaction"
Reliance Communications,4.0,3.4k,Telecom,Mumbai +440 other locations,"Skill Development / Learning, Work Life Balance, Job Security",Promotions / Appraisal
Bajaj Auto,3.9,3.4k,Automobile,Pune +275 other locations,None,Promotions / Appraisal
Varun Beverages,4.1,3.4k,Beverage,New Delhi +313 other locations,"Job Security, Salary & Benefits, Skill Development / Learning",None
Randstad,3.8,3.3k,Recruitment,Hyderabad / Secunderabad +284 other locations,None,"Promotions / Appraisal, Job Security"
EY Global Delivery Services ( EY GDS),3.6,3.3k,Accounting & Auditing,Bangalore / Bengaluru +42 other locations,Job Security,"Promotions / Appraisal, Work Satisfaction, Work Life Balance"
L&T Finance,3.9,3.3k,NBFC,Mumbai +505 other locations,"Salary & Benefits, Skill Development / Learning",None
Intas Pharmaceuticals,4.1,3.3k,Pharma,Ahmedabad +127 other locations,"Job Security, Salary & Benefits, Work Life Balance",None
Tata Communications,4.1,3.3k,Telecom,Pune +94 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Deutsche Bank,3.9,3.3k,Banking,Pune +39 other locations,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
John Deere,4.1,3.3k,Industrial Machinery,Pune +122 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Kogta Financial India Limited,4.8,3.2k,NBFC,Jaipur +229 other locations,"Company Culture, Work Life Balance, Work Satisfaction",None
Royal Enfield,4.2,3.2k,Automobile,Chennai +328 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",None
Team Lease,3.9,3.2k,Recruitment,Bangalore / Bengaluru +335 other locations,None,Promotions / Appraisal
R1 RCM,3.9,3.2k,BPO,New Delhi +37 other locations,"Job Security, Company Culture",None
LG Electronics,4.0,3.2k,Consumer Electronics & Appliances,Pune +267 other locations,"Job Security, Skill Development / Learning, Salary & Benefits",None
Thermax Limited,4.2,3.2k,Industrial Machinery,Pune +196 other locations,"Job Security, Company Culture, Skill Development / Learning",None
Havells,4.0,3.2k,Electrical Equipment,Noida +199 other locations,"Work Life Balance, Salary & Benefits, Company Culture",None
Macleods Pharmaceuticals,3.6,3.1k,Mumbai +111 other locations,Unknown,Job Security,"Promotions / Appraisal, Company Culture, Salary & Benefits"
HDFC Ergo General Insurance,4.0,3.1k,Insurance,Mumbai +272 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Access Healthcare,3.9,3.1k,Analytics & KPO,Chennai +34 other locations,"Job Security, Company Culture",Promotions / Appraisal
Hetero Drugs,3.9,3.1k,Pharma,Hyderabad / Secunderabad +52 other locations,Job Security,Promotions / Appraisal
Aakash Educational Services,3.5,3.1k,Education & Training,New Delhi +219 other locations,None,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
Tata AIA Life Insurance,4.0,3.1k,Insurance,Mumbai +366 other locations,"Job Security, Salary & Benefits, Skill Development / Learning",None
Publicis Sapient,3.5,3.1k,IT Services & Consulting,Bangalore / Bengaluru +32 other locations,None,"Promotions / Appraisal, Job Security, Work Satisfaction"
Godrej & Boyce Manufacturing,3.9,3k,Consumer Electronics & Appliances,Mumbai +135 other locations,Job Security,Promotions / Appraisal
Cummins,4.3,3k,Industrial Machinery,Pune +94 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",None
PVR Inox,4.0,3k,Media & Entertainment,New Delhi +139 other locations,"Skill Development / Learning, Company Culture, Work Satisfaction",Promotions / Appraisal
Future Group,4.3,3k,Retail,Mumbai +202 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",None
Samvardhana Motherson Group,3.8,3k,Auto Components,Noida +80 other locations,Job Security,"Promotions / Appraisal, Work Life Balance"
VE Commercial Vehicles,4.0,3k,Automobile,Indore +137 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
Viatris,4.2,3k,Pharma,Hyderabad / Secunderabad +74 other locations,"Salary & Benefits, Job Security, Work Life Balance",None
DCB Bank,3.8,3k,Banking,Mumbai +316 other locations,Work Life Balance,Promotions / Appraisal
Utkarsh Small Finance Bank,3.8,3k,Banking,Varanasi +332 other locations,None,None
Pidilite Industries,4.3,3k,Chemicals,Mumbai +260 other locations,"Job Security, Company Culture, Work Life Balance",None
Subros,3.9,3k,Auto Components,Noida +65 other locations,"Job Security, Skill Development / Learning, Company Culture","Salary & Benefits, Promotions / Appraisal"
Abbott,4.2,3k,Pharma,Mumbai +183 other locations,"Salary & Benefits, Skill Development / Learning, Company Culture",Promotions / Appraisal
American Express,4.2,3k,Financial Services,Gurgaon / Gurugram +42 other locations,"Company Culture, Work Life Balance, Job Security",None
Square Yards,4.1,3k,Internet,Gurgaon / Gurugram +44 other locations,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",None
Indian Oil Corporation,4.4,3k,Oil & Gas,New Delhi +279 other locations,"Company Culture, Work Life Balance, Job Security",None
Automatic Data Processing (ADP),4.0,3k,Software Product,Hyderabad / Secunderabad +31 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Berger Paints,3.7,2.9k,Chemicals,Kolkata +281 other locations,None,"Promotions / Appraisal, Work Life Balance, Company Culture"
Alembic Pharmaceuticals,4.0,2.9k,Pharma,Vadodara +159 other locations,"Salary & Benefits, Work Life Balance",None
Sodexo,4.1,2.9k,Facility Management Services,Mumbai +140 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",None
Bharat Electronics,4.2,2.9k,Electronics Manufacturing,Bangalore / Bengaluru +62 other locations,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
Carelon Global Solutions,4.0,2.9k,Software Product,Bangalore / Bengaluru +18 other locations,"Job Security, Salary & Benefits, Company Culture",Promotions / Appraisal
Lenskart,3.2,2.9k,Internet,New Delhi +191 other locations,None,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Whitehat jr,3.5,2.9k,EdTech,Mumbai +50 other locations,None,"Job Security, Promotions / Appraisal, Work Satisfaction"
Bank of America,4.3,2.9k,Banking,Gurgaon / Gurugram +30 other locations,"Job Security, Work Life Balance, Company Culture",None
Reliance Projects & Property Management Services,4.0,2.9k,IT Services & Consulting,Kolkata +550 other locations,"Skill Development / Learning, Work Life Balance, Job Security",Promotions / Appraisal
Hindalco Industries,4.2,2.9k,Metals & Mining,Sambalpur +100 other locations,"Job Security, Skill Development / Learning, Work Life Balance",None
Dabur,4.0,2.8k,FMCG,New Delhi +276 other locations,"Salary & Benefits, Job Security, Work Life Balance",None
RBL Bank,3.7,2.8k,Banking,Mumbai +242 other locations,None,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Jindal Steel and Power,4.0,2.8k,Iron & Steel,Angul +138 other locations,"Skill Development / Learning, Job Security",None
Maersk,4.3,2.8k,Logistics,Pune +42 other locations,"Work Life Balance, Company Culture, Job Security",None
Ford Motor,4.4,2.8k,Automobile,Chennai +117 other locations,"Company Culture, Work Life Balance, Salary & Benefits",None
Alkem Laboratories,3.9,2.8k,Pharma,Mumbai +172 other locations,Salary & Benefits,None
